" Please evaluate and grade it."," Vui lòng đánh giá và chấm điểm."
"% completed","% hoàn thành"
"<a href="/app/lms-settings/LMS%20Settings">LMS Settings</a>","<a href="/app/lms-settings/LMS%20Settings">Cấu hình hệ thống</a>"
"<a href="/app/web-page/new-web-page-1">Setup a Home Page</a>","<a href="/app/web-page/new-web-page-1">Cài đặt trang chủ</a>"
"<a href="/lms/courses">Visit LMS Portal</a>","<a href="/lms/courses">Cổng thông tin điện tử</a>"
"<a href="/lms/courses/new/edit">Create a Course</a>","<a href="/lms/courses/new/edit">Tạo khóa học</a>"
"<a href="https://docs.frappe.io/learning">Documentation</a>","<a href="https://docs.frappe.io/learning">Tài liệu hướng dẫn</a>"
"<span class="h4"><b>Get Started</b></span>","Tổng quan"
"<span style="font-size: 18px;"><b>Statistics</b></span>","Thống kê"
"A course cannot have both paid certificate and certificate of completion.","Chứng chỉ hoàn thành không cần trả phí"
"A one line introduction to the course that appears on the course card","Mô tả ngắn gọn về khóa học"
"About","Thông tin"
"About this batch","Thông tin lớp học"
"Acceptance for Terms and/or Policies","Đồng ý với điều khoản hoặc chính sách"
"Accepted","Đồng ý"
"Account ID","ID tài khoản"
"Achievements","Kết quả đạt được"
"Active","Đang hoạt động"
"Add","Thêm"
"Add Chapter","Thêm mục"
"Add Lesson","Thêm bài giảng"
"Add Slot","Thêm vị trí"
"Add a Chapter","Thêm mục"
"Add a Lesson","Thêm bài giảng"
"Add a Student","Thêm học sinh"
"Add a chapter","Thêm mục"
"Add a course","Thêm khóa học"
"Add a keyword and then press enter","Thêm ký tự bất kỳ và nhấn phím enter"
"Add a lesson","Thêm bài giảng"
"Add a new question","Thêm câu hỏi"
"Add a quiz to your lesson","Thêm câu hỏi trắc nghiệm vào bài giảng"
"Add an assessment","Thêm bài tập"
"Add an assignment to your lesson","Thêm bài tập vào bài giảng"
"Add an existing question","Thêm câu hỏi có sẵn"
"Add at least one possible answer for this question: {0}","Cần thêm ít nhất một câu trả lời: {0}"
"Add web page to sidebar","Thêm trang web vào danh mục"
"Add your assignment as {0}","Thêm bài tập dưới dạng {0}"
"Address","Địa chỉ"
"Address Line 1","Địa chỉ dòng 1"
"Address Line 2","Địa chỉ dòng 2"
"Admin","Quản trị viên"
"All","Tất cả"
"All Batches","Danh sách lớp học"
"All Certified Participants","Danh sách học viên đã được cấp chứng chỉ"
"All Courses","Danh sách khóa học"
"All Feedback","Danh sách phản hồi"
"All Submissions","Danh sách nộp"
"All questions should have the same marks if the limit is set.","Tất cả câu hỏi phải có cùng số điểm nếu đã đặt giới hạn."
"Allow Guest Access","Cho phép tài khoản khách truy cập"
"Allow Job Posting From Website","Cho phép đăng tin tuyển dụng từ website"
"Allow Self Enrollment","Bật tính năng tự động đăng ký khóa học"
"Allow accessing future dates","Cho phép xem trước các ngày sắp tới"
"Allow self enrollment","Bật tính năng tự động đăng ký khóa học"
"Already Registered","Tài khoản đã được đăng ký"
"Amount","Tổng tiền"
"Amount (USD)","(USD)"
"Amount and currency are required for paid batches.","Cần nhập số tiền và đơn vị tiền tệ cho các lớp học tính phí."
"Amount and currency are required for paid certificates.","Cần nhập số tiền và đơn vị tiền tệ cho các chứng chỉ tính phí."
"Amount and currency are required for paid courses.","Cần nhập số tiền và đơn vị tiền tệ cho các khóa học tính phí."
"Amount with GST","Tổng trả đã bao gồm VAT"
"Announcement","Thông báo"
"Announcement has been sent successfully","Gửi thông báo thành công"
"Answer","Đáp án"
"Appears on the course card in the course list","Hiển thị trên thẻ khóa học trong danh mục khóa học."
"Appears when the batch URL is shared on any online platform","Hiển thị khi đường dẫn lớp học được chia sẻ trên nền tảng trực tuyến"
"Applications Received","Đã nhận yêu cầu đăng ký"
"Apply","Nộp đơn"
"Apply Rounding on Equivalent","Làm tròn trên giá trị quy đổi"
"Apply for this job","Ứng tuyển vào vị trí này"
"Approved","Đã phê duyệt"
"Apps","Ứng dụng"
"Archived","Đã lưu trữ"
"Are you sure you want to cancel this evaluation? This action cannot be undone.","Xác nhận hủy chấm điểm (hành động này không thể hoàn tác)"
"Are you sure you want to login to your Frappe Cloud dashboard?","Xác nhận đăng nhập vào Frappe Cloud dashboard"
"Ask User Category during Signup","Yêu cầu chọn danh mục người dùng khi đăng ký"
"Assessment","Bài tập"
"Assessment Name","Tên bài tập"
"Assessment Type","Loại bài tập"
"Assessment added successfully","Thêm bài tập thành công"
"Assessment {0} has already been added to this batch.","Bài tập {0} đã được thêm vào lớp học này"
"Assessments","Bài tập"
"Assign","Phân công"
"Assignment","Bài tập"
"Assignment Attachment","Tài liệu đính kèm bài tập"
"Assignment Submission Template","Mẫu bài nộp"
"Assignment Title","Tiêu đề bài tập"
"Assignment for Lesson {0} by {1} already exists.","Bài tập của bài giảng {0} giao bởi {1} đã tồn tại"
"Assignment saved successfully","Lưu bài tập thành công"
"Assignment will appear at the bottom of the lesson.","Bài tập sẽ hiển thị ở cuối bài giảng"
"Assignments","Bài tập"
"At least one option must be correct for this question.","Cần chọn ít nhất một đáp án đúng"
"Attire Preference","Yêu cầu về trang phục"
"Authorize Google Calendar Access","Cấp quyền truy cập Google Calendar"
"Auto Assign","Tự động phân công"
"Auto Recording","Tự động ghi hình"
"Average Rating","Điểm trung bình"
"Average of Feedback Received","Điểm đánh giá trung bình"
"Back to Course","Quay lại khóa học"
"Badge","Huy hiệu"
"Badge Description","Thông tin chi tiết"
"Badge Image","Ảnh"
"Batch","Lớp học"
"Batch Confirmation Template","Mẫu xác nhận đăng ký lớp"
"Batch Course","Chương trình học"
"Batch Created","Đã tạo lớp học"
"Batch Description","Mô tả lớp học"
"Batch Details","Thông tin lớp"
"Batch Details Raw","Thông tin lớp học gốc"
"Batch Evaluator","Đánh giá lớp học"
"Batch Name","Tên lớp học"
"Batch Old","Lớp cũ"
"Batch Settings","Cài đặt lớp học"
"Batch Start Date:","Ngày bắt đầu lớp học"
"Batch Start Reminder","Thông báo bắt đầu lớp học"
"Batch Title","Tên lớp học"
"Batch Updated","Cập nhật lớp học thành công"
"Batch end date cannot be before the batch start date","Vui lòng chọn ngày kết thúc lớn hơn ngày bắt đầu"
"Batch:","Lớp học"
"Batches","Lớp học"
"Begin Date","Ngày bắt đầu"
"Best Regards","Trân trọng"
"Billing Details","Thông tin hóa đơn thanh toán"
"Billing Name","Tên hóa đơn"
"Bio","Lý lịch"
"Body","Nội dung"
"Both Individual and Team Work","Cho phép thực hiện theo cá nhân hoặc theo nhóm"
"Branch","Chi nhánh"
"Business Owner","Chủ cơ sở kinh doanh"
"Buy this course","Mua khóa học này"
"By","Bởi"
"Cancel","Hủy bỏ"
"Cancel this evaluation?","Hủy bỏ đánh giá này?"
"Cancelled","Đã hủy bỏ"
"Career Preference Details","Chi tiết định hướng nghề nghiệp"
"Casual Wear","Trang phục thường ngày"
"Category","Danh mục"
"Category Name","Tên danh mục"
"Certificate","Chứng chỉ"
"Certificate Email Template","Mẫu email chứng chỉ"
"Certificate Link","Đường dẫn chứng chỉ"
"Certificate saved successfully","Lưu chứng chỉ thành công"
"Certificates","Chứng chỉ"
"Certificates generated successfully","Tạo chứng chỉ thành công"
"Certification","Chứng chỉ"
"Certification Details","Chi tiết chứng chỉ"
"Certification Name","Tên chứng chỉ"
"Certified","Đã chứng thực"
"Certified Participants","Chứng chỉ dự phần"
"Change","Cập nhật"
"Changes saved successfully","Cập nhật thành công"
"Chapter","Mục"
"Chapter Reference","Trích dẫn mục"
"Chapter added successfully","Thêm mục thành công"
"Chapter updated successfully","Cập nhật mục thành công"
"Chapters","Mục"
"Check","Kiểm tra"
"Check Discussion","Kiểm tra phần thảo luận"
"Check out the {0} to know more about certification.","Xem thêm {0} để rõ hơn về chứng chỉ"
"Checkout Courses","Hoàn thành khóa học"
"Choices","Đáp án"
"Choose all answers that apply","Chọn mọi đáp án đúng"
"Choose an icon","Chọn icon"
"Choose one answer","Chọn một đáp án đúng"
"City","Thành phố"
"Class:","Lớp học:"
"Click here to login","Đăng nhập"
"Click on the add icon in the editor and select Quiz from the menu. It opens up a dialog, where you can either select a quiz from the list or create a new quiz. When you select the Create New option it redirects you to the quiz creation page.","Chọn vào biểu tượng thêm ở phần chỉnh sửa và chọn Câu hỏi trắc nghiệm. Sau khi hộp thoại mở, có thể chọn Câu hỏi trắc nghiệm có sẵn hoặc tạo Câu hỏi trắc nghiệm mới. Tạo câu hỏi trắc nghiệm moiws sẽ mở đường dẫn đến trang tạo câu hỏi trắc nghiệm."
"Closed","Đóng"
"Cloud","Cloud"
"Code","Mã"
"Collapse all chapters","Thu ngắn danh mục"
"College Name","Tên trường"
"Color","Màu"
"Comments","Bình luận"
"Comments by Evaluator","Bình luận bởi người chấm"
"Company","Công ty"
"Company Details","Thông tin công ty"
"Company Email Address","Địa chỉ email công ty"
"Company Logo","Logo công ty"
"Company Name","Tên công ty"
"Company Type","Loại công ty"
"Company Website","Website của công ty"
"Complete","Hoàn thành"
"Complete Sign Up","Đăng ký thành công"
"Completed","Hoàn thành"
"Completed by Students","Học sinh đã hoàn thành"
"Completion Certificate","Chứng chỉ hoàn thành"
"Completions","Hoàn thành"
"Condition","Điều kiện"
"Confirm","Xác nhận"
"Confirmation Email Sent","Đã gửi email"
"Confirmation Email Template","Mẫu email xác nhận"
"Congratulations on getting certified!","Chúc mừng đã hoàn thành khóa học"
"Contact the Administrator to enroll for this course.","Liên hệ voiws quản trị viên để đăng ký vào khóa học này"
"Content","Nội dung"
"Continue Learning","Tiếp tục học"
"Contract","Hợp đồng"
"Copy the URL of the video from YouTube and paste it in the editor.","Sao chép đường dẫn video từ YouTube và dán vào phần chỉnh sửa"
"Correct","Đúng"
"Correct Answer","Đáp án đúng"
"Course","Khóa học"
"Course Chapter","Chương"
"Course Completed","Hoàn thành khóa học"
"Course Creator","Người tạo khóa học"
"Course Data","Dữ liệu khóa học"
"Course Description","Thông tin khóa học"
"Course Evaluator","Đánh giá khóa học"
"Course Image","Ảnh khóa học"
"Course Instructor","Giáo viên"
"Course Lesson","Bài giảng của khóa học"
"Course List","Danh sách khóa học"
"Course Name","Tên khóa học"
"Course Outline","Tóm tắt khóa học"
"Course Progress Summary","Tổng quan tiến độ khóa học"
"Course Settings","Cài đặt khóa học"
"Course Stats","Thống kê khóa học"
"Course Title","Tên khóa học"
"Course added to program","Đã thêm khóa học vào chương trình"
"Course already added to the batch.","Khóa học đã được thêm vào lớp học"
"Course deleted successfully","Xóa khóa học thành công"
"Course moved successfully","Cập nhật khóa học thành công"
"Course {0} has already been added to this batch.","Khóa học {0} đã được thêm vào lớp học này"
"Courses","Khóa học"
"Courses Completed","Hoàn thành khóa học"
"Courses Mentored","Giáo viên trực tiếp"
"Courses deleted successfully","Xóa khóa học thành công"
"Cover Image","Ảnh bìa"
"Create","Tạo"
"Create LMS Certificate","Tạo chứng chỉ LMS"
"Create LMS Certificate Evaluation","Tạo đánh giá chứng chỉ"
"Create a Course","Tạo khóa học"
"Create a Live Class","Tạo lớp học trực tiếp"
"Create a course","Tạo khóa học"
"Create a new question","Tạo câu hỏi mới"
"Created","Đã tạo"
"Current Lesson","Bài giảng hiện tại"
"Date and Time","Thời gian"
"Date:","Ngày"
"Day","Ngày"
"Dear","Thân gửi"
"Dear ","Thân gửi"
"Delete","Xóa"
"Delete Chapter","Xóa mục"
"Delete Course","Xóa khóa học"
"Delete this chapter?","Xác nhận xóa mục này?"
"Delete this lesson?","Xác nhận xóa bài giảng này?"
"Deleting the course will also delete all its chapters and lessons. Are you sure you want to delete this course?","Xóa khóa học sẽ xóa mọi mục và bài giảng đi kèm. Xác nhận xóa?"
"Deleting this chapter will also delete all its lessons and permanently remove it from the course. This action cannot be undone. Are you sure you want to continue?","Xóa mục sẽ xóa mọi bài giảng trong mục này. Xác nhận xóa?"
"Deleting this lesson will permanently remove it from the course. This action cannot be undone. Are you sure you want to continue?","Xác nhận xóa bài giảng?"
"Details","Chi tiết"
"Didn't receive the code?","Chưa nhận được mã?"
"Disable Self Enrollment","Tắt tính năng tự động đăng ký"
"Disable Self Learning","Tắt chế độ tự học"
"Disabled","Vô hiệu hóa"
"Discard","Hủy bỏ"
"Discussions","Thảo luận"
"Document","Tài liệu"
"Duplicate options found for this question.","Có các lựa chọn trùng lặp trong câu hỏi này"
"Duration","Thời lượng"
"Duration (in minutes)","Thời lượng (theo phút)"
"Duration of the live class in minutes","Thời lượng lớp học trực tuyến theo phút"
"Edit","Sửa"
"Edit Chapter","Sửa mục"
"Edit Profile","Sửa hồ sơ"
"Edit the question","Sửa câu hỏi"
"Enable Learning Paths","Kích hoạt lộ trình học tập"
"Enable this only if you want to upload a SCORM package as a chapter.","Chỉ bật chức năng này khi cần chia sẻ bài giảng đến các nền tảng LMS khác"
"Enabled","Kích hoạt"
"Enabling this will publish the certificate on the certified participants page.","Bật tùy chọn này sẽ công khai chứng nhận trên trang của những người được cấp chứng chỉ."
"End Date","Ngày kết thúc"
"End Date (or expected)","Ngày kết thúc (dự kiến)"
"End Time","Thời gian kết thúc"
"Enroll Now","Đăng ký ngay"
"Enrolled","Đăng ký thành công"
"Enrolled Students","Danh sách học sinh đăng ký"
"Enrolled successfully","Đăng ký thành công"
"Enrollment Confirmation for {0}","Xác nhận đăng ký cho {0}"
"Enrollment Count","Số lượng đăng ký"
"Enrollment Failed","Số lượng đăng ký thất bại"
"Enrollments","Đăng ký"
"Enter a URL","Nhập đường dẫn URL"
"Enter a title and save the quiz to proceed","Nhập tiêu đề và lưu câu hỏi trắc nghiệm để thực hiện"
"Enter the correct answer","Nhập câu trả lời đúng"
"Error","Lỗi"
"Error creating live class. Please try again. {0}","Lỗi khi tạo lớp học trực tuyến. Thử lại sau. {0}"
"Evaluation","Chấm điểm"
"Evaluation Details","Chi tiết"
"Evaluation End Date","Ngày trả kết quả chấm điểm"
"Evaluation Request","Yêu cầu chấm điểm"
"Evaluation end date cannot be less than the batch end date.","Ngày hoàn thành chấm điểm không thể nhỏ hơn ngày lớp học kết thúc"
"Evaluation saved successfully","Chấm điểm thành công"
"Evaluator","Chấm điểm"
"Evaluator Name","Tên"
"Evaluator Schedule","Lịch chấm điểm"
"Evaluator is Unavailable","Chấm điểm không khả dụng"
"Event","Sự kiện"
"Example: IST (+5:30)","Ví dụ: IST (+5:30)"
"Exercise","Bài tập"
"Exercise Latest Submission","Lần nộp bài gần nhất"
"Exercise Submission","Nộp bài"
"Exercise Title","Tiêu đề bài tập"
"Expand all chapters","Mở rộng danh mục"
"Expiration Date","Ngày hết hạn"
"Expiry Date","Ngày hết hạn"
"Explanation","Giải thích"
"Explanation ","Giải thích"
"Explore More","Tìm hiểu thêm"
"Fail","Không đạt"
"Featured","Tính năng"
"Feedback","Phản hồi"
"Feel free to make edits to your submission if needed.","Sửa lại bài nộp nếu cần thiết."
"Field To Check","Trường thông tin cần kiểm tra"
"First Name","Họ"
"Flexible Time","Thời gian linh động"
"Form to create and edit quizzes","Mẫu tạo và sửa câu hỏi trắc nghiệm"
"Formal Wear","Đồng phục"
"Friday","Thứ 6"
"From","Từ"
"From Date","Từ ngày"
"Full Name","Tên đầy đủ"
"Function","Chức năng"
"General","Thông tin chung"
"Generate Certificates","Tạo chứng chỉ"
"Get Certificate","Nhận chứng chỉ"
"Get Certified","Nhận xác thực chứng chỉ"
"Grade","Điểm"
"Grade Assignment","Điểm"
"Grade Type","Loại điểm"
"Grading","Đang chấm điểm"
"Have an account? Login","Chưa có tài khoản? Đăng ký"
"Hints","Gợi ý"
"How to add a Quiz?","Cách thêm một câu hỏi trắc nghiệm"
"If you fail to do so, the quiz will be automatically submitted when the timer ends.","Trắc nghiệm sẽ tự động kết thúc khi hết thời gian"
"In Progress","Đang thực hiện"
"Inactive","Vô hiệu hóa"
"Include In Preview","Bao gồm phần xem trước"
"Incomplete","Chưa hoàn thành"
"Incorrect","Sai"
"Index","Thứ tự"
"Index Label","Thứ tự nhãn"
"Individual Work","Cá nhân"
"Invalid Invite Code.","Sai mã mời"
"Invalid Quiz ID","Sai mã câu hỏi trắc nghiệm"
"Invite Code","Mã mời"
"Invite Email","Email mời"
"Invite Request","Yêu cầu được mời"
"Is Correct","Đúng"
"Issue Date","Ngày cấp"
"Issued On","Ngày cấp"
"Issued on","Ngày cấp"
"Location","Địa chỉ"
"Login","Đăng nhập"
"Medium","Trung bình"
"Medium:","Trung bình:"
"Milestone","Mốc hoàn thành"
"Milestones","Mốc hoàn thành"
"Minimum two options are required for multiple choice questions.","Cần chọn ít nhất hai cấu hình cho câu hỏi nhiều đáp án"
"Modified By","Chỉnh sửa bởi"
"Monday","Thứ hai"
"More","Thêm"
"Multiple Correct Answers","Các đáp án đúng"
"New","Tạo mới"
"New Assignment","Bài tập mới"
"New Assignment Submission","Nộp bài"
"New Batch","Lớp học mới"
"New Course","Khóa học mới"
"New Program","Chương trình mới"
"New Program Course","Chương trình học mới"
"New Question","Câu hỏi mới"
"New Quiz","Câu hỏi trắc nghiệm mới"
"New Sign Up","Đăng ký mới"
"New {0}","Tạo mới {0}"
"Next","Tiếp theo"
"Next Question","Câu hỏi tiếp theo"
"No Assessments","Không có bài tập"
"No Notifications","Không có thông báo"
"No Quiz submissions found","Không có bài tập trắc nghiệm nào được nộp"
"No announcements","Không có thông báo"
"No assignments found","Không tìm thấy bài tập"
"No batches found","Không tìm thấy lớp học"
"No certificates","Không chứng chỉ"
"No courses created","Không có khóa học nào được tạo"
"No courses found","Không tìm thấy khóa học"
"No courses in this program","Không tìm thấy khóa học trong chương trình"
"No courses under review","Không có khóa học đang được đánh giá"
"No feedback received yet.","Chưa có phản hồi"
"No introduction","Không có hướng dẫn"
"No live classes scheduled","Không có lớp trực tuyến nào được đặt lịch"
"No participants found","Không tìm thấy người tham gia"
"No programs found","Không tìm thấy chương trình"
"No quizzes found","Không tìm thấy câu hỏi trắc nghiệm"
"No slots available for this date.","Không còn chỗ trống trong ngày này"
"No submissions","Không có bài nộp"
"Not Saved","Chưa lưu"
"Notifications","Thông báo"
"Number of seats available","Chỗ trống còn lại"
"Open","Mở"
"Open Assignment","Mở bài tập"
"Open Course","Mở khóa học"
"Pages","Trang"
"Partially Complete","Hoàn thành một phần"
"Pass","Đạt"
"Passing Percentage","Điểm đạt"
"Password","mật khẩu"
"Paste the youtube link of a short video introducing the course","Gắn link youtube về một video ngắn giới thiệu khóa học"
"Pending","Đang chờ"
"Percentage","Phần trăm"
"Percentage (e.g. 70%)","Phần trăm (ví dụ: 70%)"
"Percentage/Status","Phần trăm/Trạng thái"
"Phone Number","Số điện thoại"
"Please Login","Vui lòng đăng nhập"
"Please ask your administrator to verify your sign-up","Vui lòng liên hệ quản trị viên để xác nhận đăng ký"
"Please check your email for verification","Vui lòng kiểm tra email xác nhận"
"Please click on the following button to set your new password","Đặt lại mật khẩu mới"
"Please complete the previous courses in the program to enroll in this course.","Vui lòng hoàn thành khóa học trước đó trong chương trình học"
"Please enroll for this course to view this lesson","Vui lòng đăng ký khóa học để hiện thị bài giảng"
"Please ensure that you complete all the questions in {0} minutes.","Vui lòng hoàn thành mọi câu hỏi trong {0} phút"
"Please enter a valid time in the format HH:mm.","Vui lòng nhập đúng định dạng thời gian HH:mm"
"Please enter the URL for assignment submission.","Vui lòng nhập đường dẫn URL cho bài tập được nộp"
"Please enter your answer","Vui lòng trả lời câu hỏi"
"Please login to access the assignment.","Vui lòng đăng nhập để truy cập bài tập này"
"Please login to access the quiz.","Vui lòng truy cập để truy cập câu hỏi trắc nghiệm này"
"Please login to access this page.","Vui lòng đăng nhập để truy cập vào trang"
"Please select a date.","Vui lòng chọn ngày"
"Please select a duration.","Vui lòng chọn thời lượng"
"Please select a future date and time.","Vui lòng đặt lịch cho lớp học"
"Please select a time.","Vui lòng chọn thời gian"
"Please try again","Thử lại sau"
"Please upload a SCORM package","Vui lòng tải lên gói SCORM"
"Please upload the assignment file.","Vui lòng tải lên tài liệu trong bài tập"
"Point of Score (e.g. 70)","Điểm (vd: 70)"
"Post","Đăng"
"Preview Image","Ảnh xem trước"
"Preview Video","Video xem trước"
"Previous","Trước"
"Private","Chỉ mình tôi"
"Profile Image","Ảnh hồ sơ"
"Program Course","Chương trình học"
"Program Courses","Chương trình học"
"Program Member","Học sinh tham dự"
"Program Members","Học sinh tham dự"
"Progress","Tiến độ"
"Progress (%)","Tiến độ (%)"
"Public","Công khai"
"Published","Hiện hành"
"Published Courses","Khóa học hiện tại"
"Published On","Hiện hành"
"Question","Câu hỏi"
"Question ","Câu hỏi"
"Question Detail","Chi tiết câu hỏi"
"Question Name","Tên câu hỏi"
"Question added successfully","Thêm câu hỏi thành công"
"Question updated successfully","Cập nhật câu hỏi thành công"
"Question {0}","Câu hỏi {0}"
"Question {0} of {1}","Câu hỏi {0} của {1}"
"Questions","Câu hỏi"
"Questions deleted successfully","Xóa câu hỏi thành công"
"Quiz","Câu hỏi trắc nghiệm"
"Quiz Submission","Nộp câu hỏi trắc nghiệm"
"Quiz Submissions","Nộp câu hỏi trắc nghiệm"
"Quiz Summary","Tổng quan câu hỏi trắc nghiệm"
"Quiz Title","Tiêu đề câu hỏi trắc nghiệm"
"Quiz created successfully","Tạo câu hỏi trắc nghiệm thành công"
"Quiz is not available to Guest users. Please login to continue.","Vui lòng đăng nhập để truy cập câu hỏi trắc nghiệm"
"Quiz updated successfully","Cập nhật câu hỏi trắc nghiệm thành công"
"Quiz will appear at the bottom of the lesson.","Câu hỏi trắc nghiệm được đính kèm ở cuối bài giảng"
"Quizzes","Câu hỏi trắc nghiệm"
"Rating","Đánh giá"
"Ready","Sẵn sàng"
"Register Now","Đăng ký ngay"
"Registered","Đã đăng ký"
"Registered but disabled","Đã đăng ký nhưng bị vô hiệu hóa"
"Rejected","Từ chối"
"Related Courses","Khóa học liên quan"
"Remove","Xóa"
"Reply To","Trả lời"
"Request Invite","Yêu cầu mời"
"Resend","Gửi lại"
"Result","Kết quả"
"Resume","Tiếp tục"
"Review the course","Xem lại khóa học"
"Reviewed By","Xem lại bởi"
"Saturday","Thứ bảy"
"Save","Lưu"
"Schedule","Lên lịch"
"Score","Điểm"
"Score Out Of","Điểm"
"Search","Tìm kiếm"
"Search by Name","Tìm kiếm theo tên"
"Search by Title","Tìm kiếm theo tiêu đề"
"Search by title","Tìm kiếm theo tiêu đề"
"Select a question","Chọn câu hỏi"
"Select a quiz","Chọn câu hỏi trắc nghiệm"
"Select an assignment","Chọn bài tập"
"Set your Password","Đặt mật khẩu"
"Settings","Cấu hình"
"Short Description","Mô tả ngắn"
"Short Introduction","Tổng quan"
"Short description of the batch","Tổng quan về lớp học"
"Show Answer","Xem đáp án"
"Show Answers","Xem đáp án"
"Show Submission History","Xem lịch sử nộp bài"
"Show live class","Xem lớp học trực tuyến"
"Shuffle Questions","Hoán đổi thứ tự câu hỏi"
"Shuffle Settings","Cài đặt hoán đổi thứ tự câu hỏi"
"Sign up","Đăng ký"
"Signup Email","Email đăng ký"
"Signup Settings","Cài đặt đăng ký"
"Signups","Đăng ký"
"Skill","Kỹ năng"
"Skill Details","Chi tiết kỹ năng"
"Skill Name","Tên kỹ năng"
"Skills","Kỹ năng"
"Skip","Bỏ qua"
"Solution","Đáp án"
"Start","Bắt đầu"
"Start Date","Ngày bắt đầu"
"Start Date:","Ngày bắt đầu"
"Start Learning","Bắt đầu học"
"Start Time","Thời gian bắt đầu"
"Start Time cannot be greater than End Time","Thời gian bắt đầu không thể lớn hơn thời gian kết thúc"
"Statistics","Thống kê"
"Status","Trạng thái"
"Status/Score","Trạng thái/Điểm"
"Students deleted successfully","Xóa học sinh thành công"
"Students will be enrolled in a paid batch once they complete the payment","Học sinh chỉ được đăng ký lớp học trả phí sau khi đã trả phí"
"Submission","Bài nộp"
"Submission List","Danh sách bài nộp"
"Submission by","Nộp bởi"
"Submit","Nộp bài"
"Submitted {0}","Đã nộp {0}"
"Success","Thành công"
"Summary","Tổng quan"
"Sunday","Chủ nhật"
"Tags","Nhãn"
"Team Work","Làm việc nhóm"
"Template","Mẫu"
"Test Results","Kết quả bài tập"
"Tests","Bài tập"
"The batch is full. Please contact the Administrator.","Vui lòng liên hệ quản trị viên (lớp đã hết chỗ)"
"The batch you have enrolled for is starting tomorrow. Please be prepared and be on time for the session.","Lớp học đã đăng ký sẽ bắt đầu sáng ngày mai"
"The course {0} is now available on {1}.","Khóa học {0} đang khả dụng tại {1}"
"The quiz has a time limit. For each question you will be given {0} seconds.","Mỗi câu hỏi trắc nghiệm trả lời trong {0} giây."
"There are no students in this batch.","Không có học sinh nào"
"There are no submissions for this assignment.","Không có bài nộp nào trong bài tập này"
"There has been an update on your submission for assignment {0}","Bài nộp {0} đã được cập nhật"
"There has been an update on your submission. You have got a score of {0} for the quiz {1}","Bài nộp cho câu hỏi trắc nghiệm đã được cập nhật. Điểm hiện tại là {0} trên {1}"
"This class has ended","Lớp học đã kết thúc"
"This course has:","Khóa học bao gồm:"
"This course is free.","Khóa học miễn phí"
"This is a chapter in the course {0}","Đây là một mục của khóa học {0}"
"This lesson is not available for preview. Please enroll in the course to access it.","Bài giảng không thể xem trước. Vui lòng đăng ký khóa học để xem trước."
"This lesson is not available for preview. Please join the course to access it.","Bài giảng không thể xem trước. Vui lòng tham dự khóa học để truy cập."
"This quiz consists of {0} questions.","Câu hỏi trắc nghiệm có {0} câu"
"Thursday","Thứ năm"
"Time","Thời gian"
"Timetable","Thời khóa biểu"
"Timetable Legends","Chú thích"
"Timetable Template","Mẫu thời khóa biểu"
"Title","Tiêu đề"
"Title is required","Cần nhập tiêu đề"
"To Date","Đến ngày"
"To join this batch, please contact the Administrator.","Để tham gia lớp học, vui lòng liên hệ quản trị viên"
"To upload Image, Video, Audio or PDF from your system, click on the add icon and select upload from the menu. Then choose the file you want to add to the lesson and it gets added to your lesson.","Để tải lên ảnh, video, tệp âm thanh hoặc pdf lên hệ thống, chọn biểu tượng thêm và chọn tệp tin."
"Total","Tổng"
"Try Again","Thử lại"
"Tuesday","Thứ ba"
"Type","Định dạng"
"Type your answer","Nhập câu trả lời"
"Update","Cập nhật"
"Update Password","Cập nhật mật khẩu"
"Upload","Tải lên"
"Upload File","Tệp tải lên"
"Uploading {0}%","Đang tải lên {0}%"
"User","Người dùng"
"User Input","Người dùng nhập"
"Username","Tên đăng nhập"
"Users","Người dùng"
"Verify","Xác thực"
"Video Embed Link","Nhúng đường dẫn video"
"View","Hiển thị"
"Wednesday","Thứ tư"
"You got {0}% correct answers with a score of {1} out of {2}","Đạt {0}% câu trả lời đúng, đạt {1}/{2}"
"You have got a score of {0} for the quiz {1}","Đạt {0} của câu hỏi trắc nghiệm {1}"
"You have not created any assignments yet. To create a new assignment, click on the "New" button above.","Chưa tạo bài tập. Để tạo bài tập mới, chọn nút tạo mới."
"You have not created any quizzes yet. To create a new quiz, click on the "New Quiz" button above.","Chưa tạo câu hỏi trắc nghiệm. Để tạo câu hỏi trắc nghiệm, chọn nút tạo mới"
"You will have to get {0}% correct answers in order to pass the quiz.","Cần đạt {0}% câu trả lời đúng để đạt câu hỏi trắc nghiệm này"
"You've successfully submitted the assignment.","Nộp bài thành công"
"Your Account has been successfully created!","Tạo tài khoản thành công"
"Your score is","Điểm đạt"
"Your submission has been successfully saved. The instructor will review and grade it shortly, and you'll be notified of your final result.","Bài nộp đã được lưu. Giáo viên sẽ trả kết quả trong thời gian tới"
"correct answers","đáp án"
"has been","đã được"
"of","của"
"out of","trên tổng"
"posted","đã đăng"
"{0} has submitted the assignment {1}","{0} đã nộp bài tập {1}"
"{0} is already a Student of {1} course through {2} batch","{0} đã là học sinh của khóa học {1}, lớp học {2}"
"{} Completed","{} Đã hoàn thành"
"{} Enrolled","{} Đã đăng ký"
"{} Passed","{} Đạt yêu cầu"
